label,key,wave,stance_1,stance_2,polarity,explicitness,strength,topic_1,topic_2,topic_conf_1,topic_conf_2,assigned_prob_1,assigned_prob_2
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I eat meat at least once a day,I grew up eating meat at meals,positive,explicit,90,15,23,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I eat meat at least once a day,Meat-eating is a family tradition,positive,explicit,85,15,1,1.0,0.04701364642863,1.0,0.0358994774682816
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I eat meat at least once a day,My family eats meat as main portion,positive,explicit,80,15,1,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I grew up eating meat at meals,Meat-eating is a family tradition,positive,explicit,95,23,1,1.0,0.04701364642863,1.0,0.0358994774682816
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My parents served meat with dinner,positive,explicit,100,23,1,1.0,0.6677302703815106,1.0,0.6677302703815106
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My family eats meat as main portion,positive,explicit,75,23,1,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My family eats meat as main portion,positive,explicit,85,1,1,0.04701364642863,1.0,0.0358994774682816,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My parents served meat with dinner,positive,explicit,90,1,1,0.04701364642863,0.6677302703815106,0.0358994774682816,0.6677302703815106
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I eat meat at least once a day,My religious beliefs justify eating animals,positive,explicit,50,15,5,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I eat meat at least once a day,negative,explicit,75,5,15,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My religious beliefs justify eating animals,negative,explicit,80,5,5,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I feel guilty about eating animals,Meat-eating is a family tradition,negative,implicit,35,5,1,1.0,0.04701364642863,1.0,0.0358994774682816
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My family eats meat as main portion,negative,implicit,30,5,1,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I grew up eating meat at meals,negative,implicit,25,5,23,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I am chronically anemic,positive,explicit,100,-1,-1,0.0623962499267328,0.0227967343013119,,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I eat meat at least once daily,positive,explicit,80,-1,15,0.0623962499267328,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I sometimes reduce meat due to health issues,negative,explicit,80,-1,7,0.0623962499267328,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,Eating meat is a family tradition,I eat meat at least once daily,positive,explicit,90,1,15,0.0481376769926578,1.0,0.0334394747342814,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,Eating meat is a family tradition,I was raised on a farm,positive,explicit,90,1,23,0.0481376769926578,1.0,0.0334394747342814,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,Eating meat is a family tradition,Some relatives hunt and eat game meats,positive,explicit,85,1,1,0.0481376769926578,0.7990008769656819,0.0334394747342814,0.7990008769656819
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I eat meat at least once daily,I have no moral issues eating meat,positive,explicit,75,15,0,1.0,0.0645882120611954,1.0,0.0463160028208234
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I eat meat at least once daily,I like the taste of meat,positive,explicit,70,15,24,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I eat meat at least once daily,I sometimes reduce meat due to health issues,negative,explicit,70,15,7,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I have no moral issues eating meat,I like the taste of meat,positive,implicit,60,0,24,0.0645882120611954,1.0,0.0463160028208234,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I have no moral issues eating meat,I sometimes reduce meat due to health issues,positive,explicit,65,0,7,0.0645882120611954,1.0,0.0463160028208234,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,I believe too much meat can harm health,positive,explicit,90,7,11,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I like the taste of meat,I was raised on a farm,positive,implicit,50,24,23,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,Eating meat is a family tradition,I have no moral issues eating meat,positive,explicit,65,1,0,0.0481376769926578,0.0645882120611954,0.0334394747342814,0.0463160028208234
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I eat meat at least once daily,I was raised on a farm,positive,explicit,80,15,23,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I am chronically anemic,I sometimes reduce meat due to health issues,negative,explicit,60,-1,7,0.0227967343013119,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,242bdf6bc5bb0b94,1,I eat meat at least once daily,I believe too much meat can harm health,negative,explicit,55,15,11,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I choose chicken and turkey for health,I think chicken and turkey are healthier,positive,explicit,100,3,3,1.0,0.4951256980733234,1.0,0.4951256980733234
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I choose chicken and turkey for health,I reduce beef or pork when dieting,positive,explicit,80,3,7,1.0,1.0,1.0,1.0
