Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,777,OUTLIER,Eating meat is a habit,Eating meat is a habit for me,Eating meat is mostly out of habit,I feel guilty about eating animals,Doctor recommended I eat lean beef
0,190,"easy, meat easy, good, believe, meat, prefer, meat tastes, tastes, meat feels, meat good",Chicken is more sustainable and healthier,Meat tastes great to me,Eating meat is normal for me,Meat is relatively cheap,Meat is affordable for me
1,181,"chicken, eat chicken, fish, turkey, chicken fish, chicken turkey, chicken eat, eat, prefer, eat chicken fish",I eat eggs,I enjoy the taste of poultry,I eat more chicken and fish,My wife prefers fish and chicken,I try to eat more chicken
2,118,"times, week, week eat, weekly, meat times, eat meat times, weekly eat, times week, times week eat, eat",I incorporate fish weekly,I eat red meat two times a week,I eat meat once or twice a week,I eat red meat up to twice a week,I eat fish one to two times weekly
3,110,"vegetarian, vegan, vegetarian meals, meals, years, vegetarians, friends, vegetarian vegetarian, vegan vegetarian, vegetarian vegan",My family is vegetarian,My dad and stepmom are vegetarians,I am vegetarian,I became vegetarian,My father and stepmom are vegetarians
4,104,"family, tradition, meat family, eating meat family, family tradition, meat family tradition, cultural, eating meat, meat, eating",Eating meat is family tradition,Meat is part of my family's culture,Eating meat is a cultural habit in my family,Meat is central in my family culture,My parents taught me meat is important
5,100,"health, concerned health, health concerns, concerned, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have heart disease in my family,I am concerned about my health,I am concerned about health,My husband's heart surgery affected me,I am concerned about kidney health
6,87,"food, habits, eating habits, meals, similar, family, consider cost, eats cook, wife, eats",I prefer convenient food options,I find meal preparation efficiency important,I want to enjoy meals regardless of health advice,Convenience motivates my food choices,I like variety in my food
7,85,"eat meat, meat meals, eat meat meals, people, eat, people know, people know eat, know eat, know, know eat meat",Meat is part of almost every meal locally,I eat meat with most dinners,I eat meat for most meals,Most dinners I cook include meat,I eat meat with most meals
8,84,"want, healthy, weight, want healthy, want healthier, healthier, weight want, stay, healthier want, healthy want",I want to stay healthy,I want to feel healthier,I want healthy hair,I want a healthier lifestyle,I am motivated to have more energy
9,80,"protein, want protein, protein want, want, want protein want, protein want protein, need, need protein, high protein, protein diet",I want to get enough protein,I want enough protein,I am concerned about soy and estrogen,I want to consume enough protein,I believe meals need a protein source
10,79,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I care about the environment,My wife is environmentally conscious,I am environmentally conscious,I am concerned about environmental impact
11,70,"red meat, red, limit red, limit red meat, red meat consumption, cut red, cut red meat, limit, consumption, cut",Red meat is traditional in my culture,I cut out red meat,I eat red meat occasionally,I am cutting out red meat,I enjoy red meat
12,68,"enjoy taste meat, enjoy taste, meat enjoy taste, enjoy, taste meat enjoy, taste meat, meat enjoy, taste, flavor, enjoy flavor",I enjoy the taste of meat,People around me like the taste of meat,I enjoy the flavor of meat,Housemates enjoy the taste of meat,I enjoy having steak and ribs
13,66,"protein, meat protein, eat meat protein, protein eat meat, protein meat, protein eat, meat protein eat, meat provides, provides, eat meat",I eat meat for protein and iron,I eat meat for protein,I eat meat for iron and B12,I eat meat for nutrients,I eat meat for iron
14,64,"crave, crave meat, eat meat, meat available, meat, people eat, meat filling, people, people eat meat, meat crave",I eat meat when craving it,I was brought up eating meat,I eat meat when it is available,I think we are meant to eat meat,I have access to meat alternatives
15,63,"meat eat, stopped, eat red meat, eat red, stopped eating, red meat, red, meat eat red, eat, meat stopped",I eat less meat than I used to,I eat less meat than before,Multiple friends eat less meat now,My mom eats less meat now,I eat less meat than most people
16,58,"enjoy eating, enjoy eating meat, meat enjoy eating, eating meat enjoy, meat enjoy, enjoy, eating meat, eating, meat love, eating meat love",I enjoy eating meat,I like eating meat,I get satisfaction from eating meat,I enjoy eating steak,I eat meat because it is filling
17,57,"day eat, day, eat meat day, meat day, meat day eat, day eat meat, daily eat, daily, meat daily eat, meat daily",I eat meat almost every day,I used to eat meat daily,I eat meat almost daily,I eat meat daily,I eat a lot of meat daily
18,55,"reduce meat, reduce, consumption, reducing, reducing meat, meat consumption, meat health, reasons, reduce meat consumption, health",I reduce meat consumption if price increases,I want to lower my meat intake,I try to reduce meat consumption,I am trying to reduce meat consumption,I want to eliminate meat from my diet
