Topic,Count,Name,Representation,Representative_Docs
-1,635,-1_meat_eat_eat meat_eating,"['meat', 'eat', 'eat meat', 'eating', 'feel', 'eating meat', 'day', 'meat day', 'eat meat day', 'believe']","['I eat meat every day', 'I eat meat every day', 'I often do not eat any meat']"
0,281,0_friends_social_contacts_social contacts,"['friends', 'social', 'contacts', 'social contacts', 'people', 'eat meat', 'meat', 'friends eat', 'eat', 'meat social']","['Family and friends eat meat regularly', 'My family and friends eat meat regularly', 'Family and friends eat meat regularly']"
1,261,1_family_meat family_eats_family eats,"['family', 'meat family', 'eats', 'family eats', 'eats meat', 'family eats meat', 'meat', 'eating meat family', 'eating', 'meat family eats']","['Everyone in my family eats meat', 'All my family eats meat', 'My family eats meat']"
2,204,2_chicken_fish_eat chicken_turkey,"['chicken', 'fish', 'eat chicken', 'turkey', 'chicken fish', 'eat', 'chicken turkey', 'prefer', 'eat fish', 'eat chicken fish']","['I eat more chicken and fish', 'I eat chicken and fish', 'I eat mostly chicken and fish']"
3,201,3_red meat_red_meat_consumption,"['red meat', 'red', 'meat', 'consumption', 'limit', 'meat consumption', 'cut', 'try', 'reducing', 'reduce']","['I limit red meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
4,164,4_avoid_avoid eating_pork_meat avoid,"['avoid', 'avoid eating', 'pork', 'meat avoid', 'eating', 'dislike', 'red', 'meats avoid', 'pork avoid', 'red meat']","['I avoid eating red meat', 'I avoid eating red meat', 'I avoid eating red meat']"
5,139,5_plantbased_meals_vegetables_vegetarian,"['plantbased', 'meals', 'vegetables', 'vegetarian', 'new', 'vegetarian meals', 'plantbased meals', 'meatless', 'balance', 'balance meat']","['I am open to trying new meats', 'I eat more vegetables now', 'I sometimes have vegetarian meals']"
6,124,6_animal_welfare_animal welfare_concerned animal,"['animal', 'welfare', 'animal welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'welfare concerned', 'animal welfare concerned', 'animals', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
7,117,7_concerns_health_red meat_red,"['concerns', 'health', 'red meat', 'red', 'environmental', 'meat', 'health concerns', 'unhealthy', 'impact', 'concerned']","['I have health concerns about red meat', 'I have health concerns about red meat', 'I have health concerns about red meat']"
8,108,8_eat meat_eat_meat meals_meals eat,"['eat meat', 'eat', 'meat meals', 'meals eat', 'meat meals eat', 'meals eat meat', 'eat meat meals', 'meals', 'meat meal', 'meat']","['I eat meat at most meals', 'I eat meat at most meals', 'I eat meat at most meals']"
9,107,9_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'protein want protein', 'want protein want', 'need', 'need protein', 'high protein', 'protein diet']","['I want to get enough protein', 'I want to get enough protein', 'I want protein']"
10,99,10_expensive_meat expensive_prices_cost,"['expensive', 'meat expensive', 'prices', 'cost', 'meat prices', 'choices', 'expensive meat', 'price', 'meat', 'limited']","['Meat is expensive for me', 'Meat is expensive', 'Meat is too expensive']"
