key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,2,1.0,1.0
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,35,1.0,1.0
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,5,0.10705417028288079,0.10705417028288079
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,5,0.09518696354086337,0.0774290577862305
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,5,1.0,1.0
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,22,0.32367699854368476,0.32367699854368476
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,30,1.0,1.0
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,2,1.0,1.0
242bdf6bc5bb0b94,1,I like the taste of meat,True,40,1.0,1.0
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,39,0.5140348483181313,0.5140348483181313
242bdf6bc5bb0b94,1,I was raised on a farm,True,-1,0.05657813001918413,
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,5,1.0,1.0
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,-1,0.09795011223930422,
242bdf6bc5bb0b94,1,I am chronically anemic,True,4,0.17288528398767114,0.17288528398767114
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,5,0.12775106475179948,0.12775106475179948
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,20,0.13664051423325313,0.13664051423325313
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,-1,0.27474527261693354,
c0ac91fae56c6ec3,1,I eat meat every day,True,19,0.09757623462806946,0.09757623462806946
c0ac91fae56c6ec3,1,I like the taste of meat,True,40,1.0,1.0
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,1,0.3667496126705606,0.3667496126705606
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,-1,0.06672715584887566,
c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,True,1,0.1526747928108471,0.1526747928108471
c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,True,-1,0.06458819296495708,
c0ac91fae56c6ec3,1,Those around me eat meat regularly,True,9,0.12201573892031958,0.12201573892031958
c0ac91fae56c6ec3,1,Social contacts like the taste of meat,True,10,0.011465357918434584,0.011465357918434584
8f96fa223f234180,1,I eat meat whenever I choose to,True,16,1.0,1.0
8f96fa223f234180,1,I eat more chicken and fish now,True,1,0.28799127106637884,0.28799127106637884
8f96fa223f234180,1,I have tried to cut back on red meat,True,8,1.0,1.0
8f96fa223f234180,1,I have tried to cut back on processed meat,True,-1,0.05569527948606797,
8f96fa223f234180,1,I am concerned about my health,True,4,1.0,1.0
8f96fa223f234180,1,I want to improve cholesterol and blood work,True,-1,0.07499166624804718,
8f96fa223f234180,1,I do not control grocery shopping or meal planning,True,6,0.1625444365045062,0.13447938893596204
8f96fa223f234180,1,"I am fond of chicken, turkey, and fish",True,1,0.4710626785299893,0.4710626785299893
24e9f4a8dba444ba,1,I eat meat 1-2 times a day,True,2,1.0,1.0
24e9f4a8dba444ba,1,I eat a lot of chicken,True,1,0.10086732532543097,0.10086732532543097
24e9f4a8dba444ba,1,Eating meat feels natural to me,True,0,1.0,1.0
24e9f4a8dba444ba,1,I have always eaten and cooked with meat,True,-1,0.1088642557654457,
24e9f4a8dba444ba,1,My parents cooked with meat,True,5,0.12417251971665422,0.12417251971665422
24e9f4a8dba444ba,1,Most friends and family eat meat,True,11,0.07688535757365858,0.07688535757365858
24e9f4a8dba444ba,1,Eating meat is a habit for me,True,-1,0.02720618498631115,
24e9f4a8dba444ba,1,I reduce meat when it is expensive,True,-1,0.06913849278580327,
24e9f4a8dba444ba,1,I enjoy the challenge of vegetarian cooking,True,3,0.04362732364744285,0.04362732364744285
24e9f4a8dba444ba,1,I get bored with the same meals,True,17,0.1874373739161791,0.1874373739161791
5d5930b9486b3aef,1,I eat mostly chicken,True,1,1.0,1.0
5d5930b9486b3aef,1,I prefer chicken and fish,True,1,1.0,1.0
5d5930b9486b3aef,1,I find chicken easier to digest than beef,True,0,1.0,1.0
5d5930b9486b3aef,1,I find steak hard to chew,True,22,0.2131133130289595,0.2131133130289595
5d5930b9486b3aef,1,Chicken and pork are less expensive than beef,True,0,1.0,1.0
5d5930b9486b3aef,1,I buy more meat when it is on sale,True,-1,0.06982657527299721,
c64e457f6d99d425,1,I eat meat when I feel like it,True,16,1.0,1.0
c64e457f6d99d425,1,My mood influences what meat I eat,False,-1,0.08591286652260782,
c64e457f6d99d425,1,I sometimes choose to cut back on meat,True,-1,0.04267923516561819,
c64e457f6d99d425,1,Meat consumption is a personal preference,True,5,1.0,1.0
0ec83457dd9ad9bb,1,I enjoy eating meat regularly,True,15,0.01558263525157279,0.014294631252886835
0ec83457dd9ad9bb,1,I crave meat,True,16,1.0,1.0
0ec83457dd9ad9bb,1,Meat tastes delicious to me,True,0,1.0,1.0
0ec83457dd9ad9bb,1,Most people I know eat meat regularly,True,11,0.10139296737136859,0.10139296737136859
cd254873c8c70b1f,1,I crave meat more during holidays,True,-1,0.07380451767978917,
cd254873c8c70b1f,1,I enjoy eating meat,True,15,1.0,1.0
cd254873c8c70b1f,1,I want to be healthier,True,14,1.0,1.0
cd254873c8c70b1f,1,I eat more meat at gatherings,True,-1,0.03946670689227529,
cd254873c8c70b1f,1,My family are big meat eaters,True,-1,0.15573407344508947,
cd254873c8c70b1f,1,My friends enjoy eating meat,True,24,1.0,1.0
cd254873c8c70b1f,1,My brother reduces meat for health reasons,True,20,0.13992408257618744,0.13992408257618744
673d057ee91b91d4,1,I eat predominantly meat with each meal,True,32,1.0,1.0
673d057ee91b91d4,1,I feel better when I eat more meat,True,0,0.23098164614892058,0.23098164614892058
673d057ee91b91d4,1,I follow a low-carb diet,True,-1,0.03840348402973016,
673d057ee91b91d4,1,I believe meat is essential for health,True,30,1.0,1.0
673d057ee91b91d4,1,I would like to eat less meat,False,38,1.0,1.0
673d057ee91b91d4,1,My family serves meat at meals,True,5,0.1190692182136431,0.1190692182136431
673d057ee91b91d4,1,Family habits from childhood influence my eating,True,13,1.0,1.0
7cf1b08e24b10350,1,I love eating meat,True,15,0.017230480961442664,0.011277685375503643
7cf1b08e24b10350,1,I enjoy cooking meat at home,True,-1,0.011991041233538651,
7cf1b08e24b10350,1,Meat is expensive for me,True,26,1.0,1.0
7cf1b08e24b10350,1,I eat a lot of chicken,True,1,0.10345239768459648,0.10345239768459648
7cf1b08e24b10350,1,I prefer real meat over substitutes,True,0,0.04728161667947639,0.04728161667947639
7cf1b08e24b10350,1,I avoid fast food bacon,True,6,1.0,1.0
7cf1b08e24b10350,1,Chicken is cheap and convenient,True,0,0.2224022119300463,0.2224022119300463
7cf1b08e24b10350,1,My girlfriend loves bacon,True,1,0.08730314036682371,0.08730314036682371
7cf1b08e24b10350,1,Family eats more chicken for cost reasons,True,1,0.17653447193961666,0.17653447193961666
7cf1b08e24b10350,1,I got food poisoning from fast food bacon,True,-1,0.07131362139598298,
bd14752573c3fbed,1,I eat meat at most meals,True,11,1.0,1.0
bd14752573c3fbed,1,I like the taste of meat,True,40,1.0,1.0
bd14752573c3fbed,1,I try to have some balance,False,14,0.25267942010247296,0.25267942010247296
bd14752573c3fbed,1,Eating meat is mostly out of habit,True,-1,0.028223731217946975,
bd14752573c3fbed,1,My family eats similar meals as me,True,36,1.0,1.0
bd14752573c3fbed,1,My family likes the taste of meat,True,24,1.0,1.0
bd14752573c3fbed,1,I realize meat is not always healthy,True,-1,0.07795532681687374,
bd14752573c3fbed,1,I realize meat can impact the environment,True,23,1.0,1.0
2a27143cb3ff288a,1,I eat meat if I feel like it,True,16,1.0,1.0
2a27143cb3ff288a,1,I plan meals with my wife,True,36,1.0,1.0
2a27143cb3ff288a,1,I eat less meat than I used to,True,25,1.0,1.0
2a27143cb3ff288a,1,I consciously eat more chicken,True,1,0.29701195640139405,0.29701195640139405
2a27143cb3ff288a,1,I believe grilled chicken is healthier,True,0,1.0,1.0
2a27143cb3ff288a,1,My children eat more chicken and fish,True,1,0.28486542837452883,0.28486542837452883
99229f1b414f5809,1,I am sensitive to meat texture,True,16,0.2835526768438098,0.2835526768438098
99229f1b414f5809,1,I am picky about eating meat,True,-1,0.08952707917425565,
99229f1b414f5809,1,My mood affects my meat eating,True,-1,0.14054363218253285,
99229f1b414f5809,1,I believe meat provides necessary protein,True,12,0.07987549380023636,0.07987549380023636
99229f1b414f5809,1,"I want a balanced, healthy diet",True,33,1.0,1.0
99229f1b414f5809,1,My family likes to eat meat,True,24,1.0,1.0
99229f1b414f5809,1,I prepare meat for my husband and son,True,5,0.12930484776359688,0.12930484776359688
99229f1b414f5809,1,I eat more lean meats to be healthy,True,-1,0.07324391508196304,
41f4d247212a91b7,1,I eat beef four or five times weekly,True,2,0.027652252637449814,0.027652252637449814
41f4d247212a91b7,1,I always have a freezer full of beef,True,32,0.29489469345876634,0.29489469345876634
41f4d247212a91b7,1,I value convenience of having home-raised beef,True,0,0.2781612695183471,0.2781612695183471
41f4d247212a91b7,1,I believe beef is high in protein,True,0,0.10638698826706654,0.10638698826706654
41f4d247212a91b7,1,I believe beef is nutritious,True,0,0.6355982794757031,0.6355982794757031
41f4d247212a91b7,1,I am not interested in eating less beef,True,6,0.22497075630369695,0.22497075630369695
41f4d247212a91b7,1,Negative information on beef is viewed as political,True,-1,0.13028630713111228,
41f4d247212a91b7,1,I eat chicken and fish with my sister,True,1,0.39220651040140597,0.39220651040140597
41f4d247212a91b7,1,My sister prefers chicken and fish for health,True,1,0.592510624799554,0.592510624799554
41f4d247212a91b7,1,Some family avoid venison due to taste,True,31,1.0,1.0
5abe20da31c1510b,1,I am concerned about my health,True,4,1.0,1.0
5abe20da31c1510b,1,I avoid eating the same meat daily,True,17,0.11346538345978688,0.11346538345978688
5abe20da31c1510b,1,I have food allergies,True,-1,0.05265741009309805,
5abe20da31c1510b,1,I am motivated to save money,False,-1,0.18464729071036404,
5abe20da31c1510b,1,I vary meat based on what is on sale,True,30,1.0,1.0
5abe20da31c1510b,1,I eat meat for vitamins like B12,True,12,1.0,1.0
5abe20da31c1510b,1,I have reduced meat eating over time,False,-1,0.1206035836485206,
